Recency,Frequency,Monetary,Cluster
326,2,0.0,2
2,7,4310.000000000001,0
75,4,1797.24,0
19,1,1757.5500000000002,0
310,1,334.40000000000003,2
36,11,1545.4100000000005,0
204,1,89.0,2
232,1,1079.3999999999999,2
214,1,459.4,2
23,3,2811.43,0
33,1,6207.67,0
2,2,1168.06,0
8,6,6245.529999999999,0
52,3,2662.06,0
287,1,189.89999999999998,2
3,13,5154.58,0
110,2,552.0,0
8,4,1313.1000000000001,0
291,3,320.68999999999994,2
4,1,168.89999999999998,0
51,4,3545.6899999999996,0
45,2,1887.96,0
72,3,1298.0400000000002,0
311,1,364.6,2
25,1,742.93,0
3,3,455.42,0
315,2,1628.12,2
130,1,4008.62,0
82,3,850.29,0
22,5,2720.56,0
5,6,1803.96,0
185,6,1839.3100000000002,2
29,3,566.16,0
338,2,401.9,2
16,6,2780.6600000000003,0
80,1,549.84,0
22,1,460.89,0
72,4,1582.6000000000001,0
64,2,1272.48,0
16,15,2998.28,0
36,2,2409.9000000000005,0
46,1,1635.6599999999999,0
119,4,1108.65,0
303,1,84.3,2
323,1,225.6,2
50,2,409.7,0
149,1,1710.3900000000003,2
22,3,3280.7500000000005,0
50,5,1708.1199999999997,0
33,9,2842.57,0
79,7,11056.93,0
301,3,681.0799999999999,2
75,3,1226.88,0
67,5,694.1500000000001,0
217,3,562.41,2
24,26,123725.45000000001,1
3,12,3578.8,0
113,1,668.58,0
64,1,600.3900000000001,0
16,5,806.2700000000001,0
96,3,803.5599999999998,0
1,9,1849.1100000000001,0
163,2,1760.9599999999996,2
78,1,777.1999999999999,0
195,1,582.73,2
12,5,708.37,0
26,12,7877.2,0
9,4,3750.4,0
43,1,256.4,0
36,18,6416.389999999999,0
43,5,5059.319999999999,0
1,7,13375.87,0
85,4,765.1899999999999,0
80,2,7829.890000000001,0
100,1,509.01000000000005,0
2,19,4896.66,0
14,2,2906.8500000000004,0
367,1,173.55,2
3,1,172.06,0
21,5,5005.46,0
22,1,133.4,0
58,1,1002.3100000000001,0
243,1,476.49,2
44,1,449.4500000000001,0
22,4,4067.2900000000004,0
156,2,197.88,2
11,6,8933.52,0
17,3,428.57,0
134,1,707.0899999999999,0
53,2,-5.684341886080802e-14,0
73,6,2466.8599999999997,0
44,4,3153.89,0
58,12,1917.78,0
71,2,947.4,0
94,2,826.88,0
2,4,1124.0099999999998,0
46,7,1303.63,0
10,8,1212.05,0
8,3,733.89,0
143,3,724.04,0
2,49,18740.92,3
31,13,6229.48,0
29,9,2848.2299999999996,0
17,30,7116.469999999999,3
54,1,723.3799999999999,0
1,20,6546.58,0
23,9,13117.01,0
4,1,680.9900000000001,0
4,3,477.29999999999995,0
28,4,3281.6299999999997,0
23,11,5590.860000000001,0
17,13,2327.13,0
33,8,4495.27,0
10,3,1298.6600000000003,0
336,1,334.92999999999995,2
5,10,5417.93,0
39,1,460.40000000000003,0
63,2,263.21,0
166,3,416.79,2
10,13,1139.35,0
82,1,1043.1,0
21,3,403.7,0
23,13,4206.27,0
315,2,2089.68,2
96,5,3723.87,0
338,1,-1126.0,2
18,4,114.00000000000003,0
301,1,-4.5,2
233,1,73.50000000000001,2
134,4,1258.06,0
26,2,398.27,0
284,1,176.5,2
143,2,982.5699999999999,2
66,2,138.03,0
85,2,586.7900000000001,0
267,1,1017.6800000000001,2
353,1,383.70000000000005,2
78,2,1312.06,0
28,6,2464.8900000000003,0
1,5,2056.89,0
64,1,340.84000000000003,0
79,6,2582.51,0
143,1,599.68,2
39,2,192.72000000000003,0
2,13,1745.5699999999997,0
9,8,4485.719999999999,0
1,3,1316.6600000000003,0
82,3,348.71000000000004,0
9,8,1922.28,0
60,5,1623.6300000000003,0
15,1,125.22,0
30,1,349.83000000000004,0
131,1,1089.18,0
92,2,716.35,0
8,5,4106.82,0
29,1,363.95,0
22,5,3852.5,0
20,19,13309.039999999999,0
30,3,981.1800000000002,0
30,2,355.70000000000005,0
75,2,1000.39,0
47,3,1141.5,0
198,2,207.8,2
166,1,95.19999999999999,2
79,1,964.83,0
358,1,168.0,2
39,2,437.82,0
8,14,3652.25,0
50,2,603.7099999999999,0
16,5,11990.96,0
2,2,2.6645352591003757e-14,0
311,3,536.2099999999999,2
5,4,2101.3900000000003,0
303,1,238.85,2
8,7,3781.74,0
261,1,456.90000000000003,2
282,2,131.17000000000002,2
73,2,346.7,0
23,11,9114.94,0
2,35,4064.99,3
40,2,519.61,0
9,3,1004.7199999999999,0
227,1,160.54,2
316,1,218.45000000000002,2
36,6,1306.98,0
35,4,595.4,0
21,4,2753.36,0
73,3,410.71999999999997,0
247,1,415.70000000000005,2
40,1,197.70999999999998,0
239,2,511.3599999999999,2
3,18,7187.34,0
4,18,1893.9500000000003,0
234,4,1982.81,2
17,2,179.94,0
8,1,144.0,0
39,1,214.89999999999998,0
29,2,646.6800000000001,0
190,3,9861.38,2
317,1,452.84999999999997,2
92,2,437.6,0
109,3,418.0999999999999,0
38,11,3320.2200000000003,0
51,2,618.27,0
19,5,3683.13,0
10,9,3002.6800000000003,0
29,7,1032.5800000000004,0
29,11,2581.04,0
190,6,569.5600000000001,2
59,1,153.12,0
22,1,739.1999999999999,0
79,2,254.17999999999998,0
365,1,-7.5,2
58,2,0.0,0
78,3,1126.8500000000001,0
23,7,2057.9900000000002,0
52,1,1193.32,0
58,2,643.59,0
31,6,3218.98,0
278,1,315.59999999999997,2
2,4,2291.1899999999996,0
85,5,657.2499999999999,0
29,1,355.53000000000003,0
22,1,177.31,0
16,13,3214.8100000000004,0
15,3,1339.41,0
2,23,13612.07,3
232,1,180.09999999999997,2
276,1,305.1,2
106,2,641.13,0
212,3,2614.32,2
23,13,6388.35,0
11,7,4478.530000000001,0
4,4,769.61,0
10,2,1270.88,0
57,1,640.5,0
59,5,2140.63,0
90,2,1689.1800000000003,0
67,10,5953.25,0
33,1,671.69,0
239,1,486.1,2
24,3,1174.58,0
115,1,185.9,0
25,3,1013.26,0
128,6,3344.6399999999994,0
130,1,477.90999999999997,0
34,5,1755.38,0
5,2,1346.97,0
22,13,3669.92,0
155,1,318.04999999999995,2
107,4,603.71,0
3,1,314.44,0
335,1,114.0,2
322,2,914.53,2
149,2,2209.85,2
11,5,601.9799999999999,0
17,8,3982.7200000000003,0
11,5,1152.06,0
19,1,686.05,0
30,1,91.68,0
11,1,245.10000000000002,0
1,12,3817.08,0
8,10,4863.88,0
325,2,61.75,2
359,1,-227.44,2
58,1,620.1300000000001,0
7,6,3743.1800000000003,0
151,4,1607.73,2
10,6,2986.1499999999996,0
330,1,225.9,2
5,2,610.52,0
12,7,1919.3099999999997,0
25,6,1331.39,0
42,13,17588.26,0
52,9,1058.67,0
1,4,862.8100000000002,0
15,27,13677.59,3
4,31,12288.220000000001,3
4,20,8221.09,0
8,7,2283.63,0
28,6,2863.08,0
372,1,89.14,2
114,1,4873.8099999999995,0
26,2,1247.61,0
206,1,389.01,2
28,6,1035.8,0
121,6,830.9599999999999,0
70,2,869.67,0
7,4,582.1,0
21,5,939.02,0
8,6,4867.99,0
80,2,797.71,0
20,1,219.0,0
64,2,274.7,0
7,10,2220.8399999999997,0
15,14,6814.24,0
292,1,603.42,2
30,16,2616.3199999999997,0
3,26,9294.1,3
97,4,1130.5700000000002,0
23,17,4241.629999999999,0
1,1,848.5500000000001,0
9,5,4708.860000000001,0
106,1,353.85999999999996,0
4,2,1053.4900000000002,0
151,3,980.98,2
71,1,238.25,0
5,3,608.1,0
3,29,5713.28,3
32,7,2628.9799999999996,0
85,6,904.3299999999999,0
4,5,725.07,0
5,4,1031.4099999999999,0
371,1,427.8,2
28,7,2609.1,0
11,9,3947.7000000000007,0
71,4,836.3299999999999,0
114,1,453.01000000000005,0
24,14,18793.41,0
180,1,236.26000000000005,2
234,1,383.95000000000005,2
353,1,110.39999999999999,2
315,2,779.57,2
333,1,234.00000000000003,2
372,1,155.35,2
78,2,1013.0400000000001,0
64,1,427.59999999999997,0
134,2,546.4300000000001,0
52,10,9120.39,0
2,11,4196.009999999999,0
1,224,29072.1,3
4,8,3868.2000000000007,0
129,1,275.88,0
81,1,4366.780000000001,0
4,11,21024.01,0
236,5,2949.12,2
250,4,2203.1999999999994,2
87,1,112.08000000000001,0
16,19,4227.7,0
117,2,2791.59,0
52,3,1531.4400000000003,0
8,2,1898.5200000000004,0
138,2,494.08000000000004,0
317,1,1693.88,2
4,7,6989.63,0
239,1,1143.6,2
211,1,1351.4499999999998,2
60,1,892.4700000000001,0
17,6,1351.2400000000002,0
20,7,804.23,0
21,12,3868.7,0
21,5,707.7200000000001,0
5,6,2273.32,0
2,8,1603.87,0
9,2,574.4200000000001,0
3,2,305.71,0
10,3,463.65999999999997,0
65,1,91.85000000000001,0
192,1,324.9200000000001,2
374,1,192.60000000000002,2
